x,y,z,orientation,length,width,height
0,0,0,X,200,200,100
200,0,0,X,200,200,100
400,0,0,X,200,200,100
600,0,0,X,200,200,100
800,0,0,X,200,200,100
1000,0,0,X,200,200,100
1200,0,0,X,200,200,100
1400,0,0,X,200,200,100
1600,0,0,X,200,200,100
1800,0,0,X,200,200,100
2000,0,0,X,200,200,100
2200,0,0,X,200,200,100
2400,0,0,X,200,200,100
2600,0,0,X,200,200,100
2800,0,0,X,200,200,100
3000,0,0,X,200,200,100
3200,0,0,X,200,200,100
3400,0,0,X,200,200,100
3600,0,0,X,200,200,100
3800,0,0,X,200,200,100
4000,0,0,X,200,200,100
0,0,0,Y,200,200,100
0,200,0,Y,200,200,100
0,400,0,Y,200,200,100
0,600,0,Y,200,200,100
0,800,0,Y,200,200,100
0,1000,0,Y,200,200,100
0,1200,0,Y,200,200,100
0,1400,0,Y,200,200,100
0,1600,0,Y,200,200,100
0,1800,0,Y,200,200,100
0,2000,0,Y,200,200,100
0,2200,0,Y,200,200,100
0,2400,0,Y,200,200,100
0,2600,0,Y,200,200,100
0,2800,0,Y,200,200,100
0,3000,0,Y,200,200,100
0,3200,0,Y,200,200,100
0,3400,0,Y,200,200,100
0,3600,0,Y,200,200,100
0,3800,0,Y,200,200,100
0,4000,0,Y,200,200,100
0,4200,0,Y,200,100,100
0,0,0,X,200,200,100
200,0,0,X,200,200,100
400,0,0,X,200,200,100
600,0,0,X,200,200,100
800,0,0,X,200,200,100
1000,0,0,X,200,200,100
1200,0,0,X,200,200,100
1400,0,0,X,200,200,100
1600,0,0,X,200,200,100
1800,0,0,X,200,200,100
2000,0,0,X,200,200,100
2200,0,0,X,200,200,100
2400,0,0,X,200,200,100
2600,0,0,X,200,200,100
2800,0,0,X,200,200,100
3000,0,0,X,200,200,100
3200,0,0,X,200,200,100
3400,0,0,X,200,200,100
3600,0,0,X,200,200,100
3800,0,0,X,200,200,100
4000,0,0,X,200,200,100
0,4100,0,X,200,200,100
200,4100,0,X,200,200,100
400,4100,0,X,200,200,100
600,4100,0,X,200,200,100
800,4100,0,X,200,200,100
1000,4100,0,X,200,200,100
1200,4100,0,X,200,200,100
1400,4100,0,X,200,200,100
1600,4100,0,X,200,200,100
1800,4100,0,X,200,200,100
