x,y,z,orientation,length,width,height
0,0,0,XY,200,100,100
200,0,0,XY,200,100,100
400,0,0,XY,200,100,100
600,0,0,XY,200,100,100
800,0,0,XY,200,100,100
1000,0,0,XY,200,100,100
1200,0,0,XY,200,100,100
1400,0,0,XY,200,100,100
1600,0,0,XY,200,100,100
1800,0,0,XY,200,100,100
2000,0,0,XY,200,100,100
2200,0,0,XY,200,100,100
2400,0,0,XY,200,100,100
2600,0,0,XY,200,100,100
2800,0,0,XY,200,100,100
3000,0,0,XY,200,100,100
3200,0,0,XY,200,100,100
3400,0,0,XY,200,100,100
3600,0,0,XY,200,100,100
3800,0,0,XY,200,100,100
4000,0,0,XY,200,100,100
0,100,0,XY,200,100,100
200,100,0,XY,200,100,100
400,100,0,XY,200,100,100
600,100,0,XY,200,100,100
800,100,0,XY,200,100,100
1000,100,0,XY,200,100,100
1200,100,0,XY,200,100,100
1400,100,0,XY,200,100,100
1600,100,0,XY,200,100,100
1800,100,0,XY,200,100,100
2000,100,0,XY,200,100,100
2200,100,0,XY,200,100,100
2400,100,0,XY,200,100,100
2600,100,0,XY,200,100,100
2800,100,0,XY,200,100,100
3000,100,0,XY,200,100,100
3200,100,0,XY,200,100,100
3400,100,0,XY,200,100,100
3600,100,0,XY,200,100,100
3800,100,0,XY,200,100,100
4000,100,0,XY,200,100,100
0,200,0,XY,200,100,100
200,200,0,XY,200,100,100
400,200,0,XY,200,100,100
600,200,0,XY,200,100,100
800,200,0,XY,200,100,100
1000,200,0,XY,200,100,100
1200,200,0,XY,200,100,100
1400,200,0,XY,200,100,100
1600,200,0,XY,200,100,100
1800,200,0,XY,200,100,100
2000,200,0,XY,200,100,100
2200,200,0,XY,200,100,100
2400,200,0,XY,200,100,100
2600,200,0,XY,200,100,100
2800,200,0,XY,200,100,100
3000,200,0,XY,200,100,100
3200,200,0,XY,200,100,100
3400,200,0,XY,200,100,100
3600,200,0,XY,200,100,100
3800,200,0,XY,200,100,100
4000,200,0,XY,200,100,100
0,300,0,XY,200,100,100
200,300,0,XY,200,100,100
400,300,0,XY,200,100,100
600,300,0,XY,200,100,100
800,300,0,XY,200,100,100
1000,300,0,XY,200,100,100
1200,300,0,XY,200,100,100
1400,300,0,XY,200,100,100
1600,300,0,XY,200,100,100
1800,300,0,XY,200,100,100
2000,300,0,XY,200,100,100
2200,300,0,XY,200,100,100
2400,300,0,XY,200,100,100
2600,300,0,XY,200,100,100
2800,300,0,XY,200,100,100
3000,300,0,XY,200,100,100
3200,300,0,XY,200,100,100
3400,300,0,XY,200,100,100
3600,300,0,XY,200,100,100
3800,300,0,XY,200,100,100
4000,300,0,XY,200,100,100
0,400,0,XY,200,100,100
200,400,0,XY,200,100,100
400,400,0,XY,200,100,100
600,400,0,XY,200,100,100
800,400,0,XY,200,100,100
1000,400,0,XY,200,100,100
1200,400,0,XY,200,100,100
1400,400,0,XY,200,100,100
1600,400,0,XY,200,100,100
1800,400,0,XY,200,100,100
2000,400,0,XY,200,100,100
2200,400,0,XY,200,100,100
2400,400,0,XY,200,100,100
2600,400,0,XY,200,100,100
2800,400,0,XY,200,100,100
3000,400,0,XY,200,100,100
3200,400,0,XY,200,100,100
3400,400,0,XY,200,100,100
